Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2,DailyCases,CumulativeCases,Deaths
2020-11-17,S92000003,Scotland,1224,85178,1558.3241858763265,140.96231247713135,36,3623,66.28247347237468,6446,861032,15752.506403219904,28538,1429,5.007358609573201,6.523016224135306,9916,18622,111.0,,4.0,,430,999,1224,85178,3623
2020-11-18,S92000003,Scotland,1110,86288,1578.63154043176,138.4742041712404,24,3647,66.72155140870838,5805,866837,15858.708379070618,25883,1276,4.929876753081173,6.382102365106548,9118,16765,97.0,,8.0,,305,971,1110,86288,3647
2020-11-19,S92000003,Scotland,980,87268,1596.560556165386,134.55909257226492,25,3672,67.17892425905599,5000,871837,15950.18294914014,20409,1172,5.742564554853251,6.277408300177155,7062,13347,97.0,,5.0,,320,852,980,87268,3672
2020-11-20,S92000003,Scotland,858,88126,1612.2575923893155,130.99158433955358,29,3701,67.7094767654592,4574,876411,16033.863885839735,17432,1049,6.0176686553464895,6.136008432377422,7190,10242,110.0,,10.0,,292,757,858,88126,3701
2020-11-21,S92000003,Scotland,762,88888,1626.1983168679103,128.41200146359313,33,3734,68.31320892791804,3082,879493,16090.24881083059,10072,895,8.886020651310563,6.067754262198707,4001,6071,87.0,,4.0,,249,646,762,88888,3734
2020-11-22,S92000003,Scotland,706,89594,1639.1145261617269,126.4727405781193,36,3770,68.97182583241859,3071,882564,16146.432491767288,9112,865,9.49297629499561,6.0325769506613725,3682,5430,68.0,,2.0,,204,661,706,89594,3770
2020-11-23,S92000003,Scotland,1153,90747,1660.2085620197586,124.27735089645078,31,3801,69.53896816684961,5804,888368,16252.616172703987,22966,1381,6.013236958982844,6.001696277118115,9159,13807,107.0,,8.0,,346,1035,1153,90747,3801
2020-11-24,S92000003,Scotland,990,91737,1678.3205268935235,119.99634101719722,30,3831,70.08781558726673,5583,893951,16354.756677643614,26749,1171,4.377733747055965,5.888118953725975,9516,17233,105.0,,12.0,,326,845,990,91737,3831
2020-11-25,S92000003,Scotland,929,92666,1695.3165020124404,116.68496158068056,32,3863,70.67325283571166,4951,898902,16445.334796926454,24130,1095,4.537919602154994,5.828684954535035,8438,15692,86.0,,6.0,,250,845,929,92666,3863
2020-11-26,S92000003,Scotland,799,93465,1709.93413830955,113.37358214416392,23,3886,71.09403585803148,5101,904003,16538.65715331138,20740,971,4.681774349083896,5.660780024542496,7523,13217,104.0,,8.0,,248,723,799,93465,3886
